objectid,parentid,filename,title,piece_identifier,types,score_order,part_order,part_types,historical_background,physical_notes,key,tempo,premiere_date,creator,date,date is approximate,description,arrangement,subject,location,latitude,longitude,source,box,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
,bukvich0003,towerwinds_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/towerwinds_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/towerwinds_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/towerwinds_parts_th.jpg
bukvich0004,,agincourthymn_aux.pdf,Agincourt Hymn,agincourthymn,aux;scores;parts,concert handwritten score;,piccolo;flute;oboe;english horn;bassoon;contra bassoon;clarinet;bass clarinet;soprano saxophone;alto saxophone;tenor saxophone;baritone saxophone;trumpet;flugelhorn;trombone;euphonium;tuba;timpani;percussion;,handwritten parts;,"Written for Wind Ensemble for opening IMEA. First time. Agincourt Hymn, John Dunstable. Wanted singing, element of movement, brass section moving forward etc. Wanted to explore insane chimes writing. Jane Pasco at Butte Highschool-- played French Horn, no french horns. Writing percussion pieces. The whole middle section is Danny Boy upside down. Jane Pasco drum cadence, that's why you should have. When performed this piece, lot of rehearsal. Tenor drums. End of the piece, the entire audience stood up. Stomping tubes. ","This Wind Ensemble masterwork of Bukvich's notably replaces French Horns with Flugelhorns. All parts were handcopied by University of Idaho Alumni, Nikki Crathorne.",,,,"Bukvich, Daniel",1986-01-26,,Wind Ensemble,Wind Ensemble,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",13,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng;lat,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/agincourthymn_aux.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/agincourthymn_aux_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/agincourthymn_aux_th.jpg
,bukvich0004,agincourthymn_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/agincourthymn_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/agincourthymn_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/agincourthymn_scores_th.jpg
,bukvich0004,agincourthymn_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/agincourthymn_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/agincourthymn_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/agincourthymn_parts_th.jpg
bukvich0005,,buffalojump_sketches.pdf,Buffalo Jump Ritual,buffalojump,aux;parts;scores;sketches,concert handwritten score; transposed typeset score; handwritten percussion score,piccolo;flute;oboe;bassoon;clarinet;bass clarinet;alto saxophone;tenor saxophone;baritone saxophone;horn;trumpet;trombone;baritone;tuba;timpani;percussion;,typeset parts;,"Bukvich was approached by Bill Larson to write a comission for the Montana Music Educators Association (MMEA). Larson took Bukvich on a trip south of Great Falls to the Ulm Buffalo Jump Site. In growing up in Montana, Bukvich had heard of these sites throughout his life, but this excursion with Larson was his first time visiting one. Larson and the comissioning board opted for simple percussion that could be performed by any band program in the state of Montana; therefore, no mallet percussion was utilized for this piece. In planning this piece, Larson wanted to get the All State Band to rehearse the piece at the Buffalo Jump site, but ""the band world isn't cool enough to figure out how to make that happen,"" according to Bukvich. Since its original premiere at MMEA 2000, it recieves an estimated hundereds of performances a year.","Scored for standard concert band, percussion includes timpani, rattle, sleighbells, suspended cymbal, prayer stones, wooden board, tom-tom, and bass drum.",,,,"Bukvich, Daniel",2000-08-10,,Concert Band,Concert Band,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",13,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/buffalojump_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/buffalojump_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/buffalojump_sketches_th.jpg
,bukvich0005,buffalojump_aux.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/buffalojump_aux.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/buffalojump_aux_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/buffalojump_aux_th.jpg
,bukvich0005,buffalojump_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/buffalojump_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/buffalojump_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/buffalojump_parts_th.jpg
,bukvich0005,buffalojump_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/buffalojump_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/buffalojump_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/buffalojump_scores_th.jpg
bukvich0006,,flagday_sketches.pdf,Flag Day Parade,flagday,aux;scores;sketches;parts,condensed score;concert handwritten score;,piccolo;flute;oboe;bassoon;clarinet;bass clarinet;alto saxophone;tenor saxophone;baritone saxophone;horn;trumpet;trombone;euphonium;tuba;timpani;percussion;,typeset parts;,Written for 100 anniversary of the Twin Falls Municipal Band. Many composers comissioned for this event. Bukvich used this comission as an excercise to write in the style of John Phillip Souza.,,,,,"Bukvich, Daniel",,[maybe date from Facebook Group if Dan doesn't have it],Concert Band,Concert Band,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",15,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/flagday_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/flagday_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/flagday_sketches_th.jpg
,bukvich0006,flagday_aux.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/flagday_aux.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/flagday_aux_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/flagday_aux_th.jpg
