subject,count,link
"percussion",11,"https://uidaholib.github.io//bukvich-project/browse.html#percussion"
"alto saxophone",10,"https://uidaholib.github.io//bukvich-project/browse.html#alto%20saxophone"
"trumpet",10,"https://uidaholib.github.io//bukvich-project/browse.html#trumpet"
"trombone",9,"https://uidaholib.github.io//bukvich-project/browse.html#trombone"
"piano",9,"https://uidaholib.github.io//bukvich-project/browse.html#piano"
"flute",9,"https://uidaholib.github.io//bukvich-project/browse.html#flute"
"tenor saxophone",8,"https://uidaholib.github.io//bukvich-project/browse.html#tenor%20saxophone"
"baritone saxophone",8,"https://uidaholib.github.io//bukvich-project/browse.html#baritone%20saxophone"
"timpani",8,"https://uidaholib.github.io//bukvich-project/browse.html#timpani"
"tuba",7,"https://uidaholib.github.io//bukvich-project/browse.html#tuba"
"piccolo",6,"https://uidaholib.github.io//bukvich-project/browse.html#piccolo"
"oboe",6,"https://uidaholib.github.io//bukvich-project/browse.html#oboe"
"bassoon",6,"https://uidaholib.github.io//bukvich-project/browse.html#bassoon"
"clarinet",6,"https://uidaholib.github.io//bukvich-project/browse.html#clarinet"
"horn",6,"https://uidaholib.github.io//bukvich-project/browse.html#horn"
"bass clarinet",5,"https://uidaholib.github.io//bukvich-project/browse.html#bass%20clarinet"
"euphonium",5,"https://uidaholib.github.io//bukvich-project/browse.html#euphonium"
"bass",4,"https://uidaholib.github.io//bukvich-project/browse.html#bass"
"guitar",3,"https://uidaholib.github.io//bukvich-project/browse.html#guitar"
"baritone",3,"https://uidaholib.github.io//bukvich-project/browse.html#baritone"
"violin",3,"https://uidaholib.github.io//bukvich-project/browse.html#violin"
"double bass",3,"https://uidaholib.github.io//bukvich-project/browse.html#double%20bass"
"soprano",3,"https://uidaholib.github.io//bukvich-project/browse.html#soprano"
"flugelhorn",2,"https://uidaholib.github.io//bukvich-project/browse.html#flugelhorn"
"drums",2,"https://uidaholib.github.io//bukvich-project/browse.html#drums"
"viola",2,"https://uidaholib.github.io//bukvich-project/browse.html#viola"
"violoncello",2,"https://uidaholib.github.io//bukvich-project/browse.html#violoncello"
"alto",2,"https://uidaholib.github.io//bukvich-project/browse.html#alto"
"tenor",2,"https://uidaholib.github.io//bukvich-project/browse.html#tenor"
"english horn",1,"https://uidaholib.github.io//bukvich-project/browse.html#english%20horn"
"contra bassoon",1,"https://uidaholib.github.io//bukvich-project/browse.html#contra%20bassoon"
"soprano saxophone",1,"https://uidaholib.github.io//bukvich-project/browse.html#soprano%20saxophone"
"conductor",1,"https://uidaholib.github.io//bukvich-project/browse.html#conductor"
"bass trombone",1,"https://uidaholib.github.io//bukvich-project/browse.html#bass%20trombone"
"vibraphone",1,"https://uidaholib.github.io//bukvich-project/browse.html#vibraphone"
